住宅價格季指數類別,期別,季指數,季指數變動率,標準住宅總價,標準住宅單價
中正區,109Q4,103.89,0.41%,2271,70.96
中正區,110Q1,105.26,1.32%,2301,71.89
中正區,110Q2,107.46,2.09%,2349,73.4
中正區,110Q3,109.03,1.46%,2383,74.47
中正區,110Q4,110.38,1.24%,2412,75.39
中山區,101Q3,83.36,-,1149,47.87
中山區,101Q4,84.47,1.33%,1164,48.5
中山區,102Q1,87.2,3.23%,1202,50.07
中山區,102Q2,90.45,3.73%,1246,51.94
中山區,102Q3,93.85,3.76%,1293,53.89
中山區,102Q4,97.06,3.42%,1338,55.73
中山區,103Q1,100.62,3.67%,1387,57.77
中山區,103Q2,102,1.37%,1406,58.57
中山區,103Q3,103.74,1.71%,1430,59.57
中山區,103Q4,106.81,2.96%,1472,61.33
中山區,104Q1,107.47,0.62%,1481,61.71
中山區,104Q2,105.08,-2.22%,1448,60.34
中山區,104Q3,105.66,0.55%,1456,60.67
中山區,104Q4,103.16,-2.37%,1422,59.24
中山區,105Q1,100.6,-2.48%,1386,57.77
中山區,105Q2,102.28,1.67%,1410,58.73
中山區,105Q3,103.2,0.90%,1422,59.26
中山區,105Q4,100.81,-2.32%,1389,57.88
中山區,106Q1,98.12,-2.67%,1352,56.34
中山區,106Q2,97.64,-0.49%,1346,56.07
中山區,106Q3,97.94,0.31%,1350,56.24
中山區,106Q4,99.55,1.64%,1372,57.16
中山區,107Q1,98.47,-1.08%,1357,56.54
中山區,107Q2,100.69,2.25%,1388,57.82
中山區,107Q3,100.83,0.14%,1389,57.89
中山區,107Q4,99.86,-0.96%,1376,57.34
中山區,108Q1,98.07,-1.79%,1351,56.31
中山區,108Q2,100.68,2.66%,1387,57.81
中山區,108Q3,102.71,2.02%,1415,58.97
中山區,108Q4,101.98,-0.71%,1405,58.55
中山區,109Q1,103.84,1.82%,1431,59.62
中山區,109Q2,105.22,1.33%,1450,60.42
中山區,109Q3,106.42,1.14%,1467,61.11
中山區,109Q4,106.86,0.41%,1473,61.36
中山區,110Q1,108.53,1.56%,1496,62.32
中山區,110Q2,108.87,0.31%,1500,62.51
中山區,110Q3,110.04,1.07%,1516,63.19
中山區,110Q4,113.38,3.04%,1562,65.1
松山區,101Q3,97.11,-,2010,62.82
松山區,101Q4,96.97,-0.14%,2007,62.73
松山區,102Q1,97.68,0.73%,2022,63.19
松山區,102Q2,101.36,3.77%,2098,65.57
松山區,102Q3,104.34,2.94%,2160,67.5
松山區,102Q4,107.98,3.49%,2235,69.85
松山區,103Q1,107.72,-0.24%,2230,69.69
松山區,103Q2,109.27,1.44%,2262,70.69
松山區,103Q3,109.58,0.28%,2268,70.89
松山區,103Q4,108.61,-0.89%,2248,70.26
松山區,104Q1,111,2.20%,2298,71.81
松山區,104Q2,108.87,-1.92%,2254,70.43
松山區,104Q3,106.25,-2.41%,2200,68.73
松山區,104Q4,103.28,-2.80%,2138,66.82
松山區,105Q1,102.77,-0.49%,2127,66.48
松山區,105Q2,102.01,-0.74%,2112,65.99
松山區,105Q3,100.23,-1.74%,2075,64.84
松山區,105Q4,99.63,-0.60%,2063,64.46
松山區,106Q1,99.34,-0.29%,2057,64.27
松山區,106Q2,98.75,-0.59%,2044,63.88
松山區,106Q3,97.94,-0.82%,2028,63.36
松山區,106Q4,98.71,0.79%,2044,63.86
松山區,107Q1,101.09,2.41%,2093,65.4
松山區,107Q2,98.99,-2.08%,2049,64.04
松山區,107Q3,99.46,0.47%,2059,64.34
松山區,107Q4,102.21,2.76%,2116,66.12
松山區,108Q1,101.34,-0.85%,2098,65.56
松山區,108Q2,103.06,1.70%,2133,66.67
松山區,108Q3,102.35,-0.69%,2119,66.21
松山區,108Q4,104.3,1.91%,2159,67.47
松山區,109Q1,104.14,-0.15%,2156,67.37
松山區,109Q2,103.68,-0.44%,2146,67.07
松山區,109Q3,105.2,1.47%,2178,68.06
松山區,109Q4,106.74,1.46%,2210,69.05
松山區,110Q1,107.68,0.88%,2229,69.66
松山區,110Q2,109.8,1.97%,2273,71.03
松山區,110Q3,110.83,0.94%,2294,71.7
松山區,110Q4,113.1,2.05%,2319,72.48
南港區,101Q3,84.65,-,1741,44.63
南港區,101Q4,84.68,0.04%,1741,44.65
南港區,102Q1,86.93,2.66%,1787,45.83
南港區,102Q2,90.17,3.73%,1854,47.54
南港區,102Q3,93.4,3.58%,1921,49.24
南港區,102Q4,97.71,4.61%,2009,51.52
南港區,103Q1,102.42,4.82%,2106,54
南港區,103Q2,103.23,0.79%,2123,54.43
南港區,103Q3,104.9,1.62%,2157,55.31
南港區,103Q4,103.98,-0.88%,2138,54.82
南港區,104Q1,106.67,2.59%,2193,56.24
南港區,104Q2,107.54,0.82%,2211,56.7
南港區,104Q3,108.46,0.86%,2230,57.18
南港區,104Q4,108.07,-0.36%,2222,56.98
南港區,105Q1,105.2,-2.66%,2163,55.46
南港區,105Q2,101.82,-3.21%,2094,53.68
南港區,105Q3,101.15,-0.66%,2080,53.33
南港區,105Q4,101.18,0.03%,2080,53.34
南港區,106Q1,104.1,2.89%,2140,54.88
南港區,106Q2,102.37,-1.66%,2105,53.97
南港區,106Q3,101.05,-1.29%,2078,53.28
南港區,106Q4,97.19,-3.82%,1998,51.24
南港區,107Q1,100.77,3.68%,2072,53.13
南港區,107Q2,98.07,-2.68%,2016,51.7
南港區,107Q3,99.68,1.64%,2050,52.55
南港區,107Q4,100.68,1%,2070,53.08
南港區,108Q1,100.62,-0.06%,2069,53.05
南港區,108Q2,100.9,0.28%,2075,53.2
南港區,108Q3,101.63,0.72%,2090,53.58
南港區,108Q4,102.85,1.20%,2115,54.23
南港區,109Q1,104.89,1.98%,2157,55.3
南港區,109Q2,105.94,1%,2178,55.86
南港區,109Q3,107.14,1.13%,2203,56.49
南港區,109Q4,109.45,2.16%,2251,57.71
南港區,110Q1,110.62,1.07%,2275,58.32
南港區,110Q2,111.45,0.75%,2292,58.76
南港區,110Q3,113.29,1.65%,2330,59.73
南港區,110Q4,115.46,1.92%,2374,60.88
